,Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,Image,Condition,Tissue,ExptDate,Treatment,Dose,Stains,Embryo,Somites,Section
0,Cntl_NC,0,0.0,,0.0,,,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_5ss_sec4,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,5ss,sec4
1,Expt_NC,1,33.391,33.391,1.472,255.0,8514.652,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_5ss_sec4,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,5ss,sec4
0,Cntl_NC,1,41.532,41.532,1.29,255.0,10590.755,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec2,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec2
1,Expt_NC,3,111.56,37.187,2.822,255.0,9482.624,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec2,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec2
0,Cntl_NC,3,111.303,37.101,2.6830000000000003,255.0,9460.725,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec3,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec3
1,Expt_NC,5,179.785,35.957,4.553999999999999,255.0,9169.019,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec3,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec3
0,Cntl_NC,0,0.0,,0.0,,,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_5ss_sec5,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,5ss,sec5
1,Expt_NC,1,27.877,27.877,1.272,255.0,7108.683000000001,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_5ss_sec5,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,5ss,sec5
0,Cntl_NC,1,26.589000000000002,26.589000000000002,0.674,255.0,6780.186,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec4,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec4
1,Expt_NC,2,47.04600000000001,23.523000000000003,1.5659999999999998,255.0,5998.361999999999,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec4,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec4
