 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,23.652,8.678,205.240,3983.000
2,H2BRFP:background,23.497,8.794,206.631,4010.000
3,H2BRFP:background,77.603,9.025,700.331,13591.000
4,H2BRFP:Cntl,2505.082,219.400,549615.631,10666142.000
5,H2BRFP:Expt,3408.695,234.780,800293.137,15530927.000
6,BREH2Bd2EGFP:background,23.652,7.098,167.881,3258.000
7,BREH2Bd2EGFP:background,23.497,7.454,175.147,3399.000
8,BREH2Bd2EGFP:background,77.603,7.485,580.835,11272.000
9,BREH2Bd2EGFP:Cntl,2505.082,155.885,390505.467,7578363.000
10,BREH2Bd2EGFP:Expt,3408.695,94.140,320893.395,6227433.000
