 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,15.613,8.706,135.934,2638
2,H2BRFP:background,25.971,8.837,229.510,4454
3,H2BRFP:background,24.579,8.830,217.040,4212
4,H2BRFP:Cntl,3775.478,232.573,878074.720,17040399
5,H2BRFP:Expt,2878.410,91.903,264533.191,5133676
6,TCFLefH2Bd2EGFP:background,15.613,7.538,117.692,2284
7,TCFLefH2Bd2EGFP:background,25.971,7.677,199.366,3869
8,TCFLefH2Bd2EGFP:background,24.579,7.405,182.000,3532
9,TCFLefH2Bd2EGFP:Cntl,3775.478,533.728,2015080.140,39105749
10,TCFLefH2Bd2EGFP:Expt,2878.410,366.413,1054687.276,20467839
