 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,12.522,8.416,105.377,2045.000
2,H2BRFP:background,23.961,8.673,207.816,4033.000
3,H2BRFP:background,18.087,8.957,162.007,3144.000
4,H2BRFP:Cntl,3935.321,187.545,738051.310,14323028.000
5,H2BRFP:Expt,3482.536,118.308,412010.528,7995702.000
6,TCFLefH2Bd2EGFP:background,12.522,7.058,88.372,1715.000
7,TCFLefH2Bd2EGFP:background,23.961,7.712,184.783,3586.000
8,TCFLefH2Bd2EGFP:background,18.087,8.017,145.003,2814.000
9,TCFLefH2Bd2EGFP:Cntl,3935.321,433.833,1707271.195,33132240.000
10,TCFLefH2Bd2EGFP:Expt,3482.536,318.372,1108740.785,21516831.000
